Week,Connections,Outbound,Inbound,TotalBytes
Feb 2020,9670,136500066450,155745296127,292245362577
Apr 2020,14223,377400168820,279859764789,657259933609
Sept 2020,11685,265075419951,308605847323,573681267274
Sept 2021,5828,237548360749,305531915915,543080276664
