Week,Connections,Outbound,Inbound,TotalBytes
Feb 2020,804733,837710390716,56350440273,894060830989
Apr 2020,1485957,1813001521252,73275353766,1886276875018
Sept 2020,1639355,3387537858512,136688879342,3524226737854
Sept 2021,1086529,1363587540333,145151362931,1508738903264
