Week,Connections,Outbound,Inbound,TotalBytes
Feb 2020,119453,1222455788553,1798864915638,3021320704191
Apr 2020,65893,886257344647,1588920701505,2475178046152
Sept 2020,27928,1273855103441,1923732114026,3197587217467
Sept 2021,128667,4783026975018,7387231384652,12170258359670
