Week,Connections,Outbound,Inbound,TotalBytes
Feb 2020,255052,320062516744,44667041477,364729558221
Apr 2020,100781,275887953165,54047663867,329935617032
Sept 2020,25191,163222640631,16503210537,179725851168
Sept 2021,7234,89151722524,15188258616,104339981140
