Week,Connections,Outbound,Inbound,TotalBytes
Feb 2020,456922,171972944478,853547198200,1025520142678
Apr 2020,302857,417994315838,1168297134838,1586291450676
Sept 2020,546931,1369821096568,4878377329722,6248198426290
Sept 2021,979152,1178515773243,2727900760455,3906416533698
