Week,Connections,Outbound,Inbound,TotalBytes
Feb 2020,240601,469522931113,423498537126,893021468239
Apr 2020,140697,167344571714,406626302588,573970874302
Sept 2020,273358,723232076873,1575568288890,2298800365763
Sept 2021,250953,172575876706,628115076601,800690953307
