Week,Connections,Outbound,Inbound,TotalBytes
Feb 2020,3731933,1267791205215,7286264768946,8554055974161
Apr 2020,3851111,2285967973322,12847810981576,15133778954898
Sept 2020,5760930,5662996651623,29242015973265,34905012624888
Sept 2021,5366703,2570081940378,12332981880728,14903063821106
