Week,Connections,Outbound,Inbound,TotalBytes
Feb 2020,102045,94708897543,499747560888,594456458431
Apr 2020,134351,59434099604,1194895560245,1254329659849
Sept 2020,91618,78516644838,813378470066,891895114904
Sept 2021,72301,158981823120,384418758274,543400581394
